Machine,Category,Material Name (JP),Material Name (EN),Cutting Pressure,Multi-Cut,Blade Type,GSM,Surface Texture,Has Adhesive,Density (kg/m3),Shore Hardness A
Maker 3,Iron-On,模様入りアイロン接着タイプ,Patterned Iron-On,80.0,-,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Maker 3,Iron-On,エブリデイアイロン接着タイプ（メッシュ）,Everyday Iron-On (Mesh),100.0,-,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Maker 3,Iron-On,エクスプレスアイロン接着タイプ,Express Iron-On,102.0,-,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Maker 3,Iron-On,エブリデイアイロン接着タイプ,Everyday Iron-On,113.0,-,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Maker 3,Iron-On,転写シート,Transfer Sheet,120.0,2倍,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Maker 3,Iron-On,ホイルアイロン接着タイプ,Foil Iron-On,123.0,-,ファインポイントブレード,100.0,foil,0,1050.0,55.0
Maker 3,Iron-On,SportFlexアイロン接着タイプ,SportFlex Iron-On,133.0,-,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Maker 3,Iron-On,フロックアイロン接着タイプ,Flock Iron-On,152.0,-,ファインポイントブレード,100.0,flock,0,1102.5,59.0
Maker 3,Iron-On,ホログラフィックアイロン接着タイプ,Holographic Iron-On,153.0,-,ファインポイントブレード,100.0,holographic,0,1102.5,53.0
Maker 3,Iron-On,グリッターメッシュアイロン接着タイプ,Glitter Mesh Iron-On,154.0,-,ファインポイントブレード,100.0,glitter,0,1176.0,61.0
Maker 3,Iron-On,グリッターアイロン接着タイプ,Glitter Iron-On,167.0,-,ファインポイントブレード,100.0,glitter,0,1176.0,63.0
Maker 3,Iron-On,ホログラフィックスパークルアイロン接着タイプ,Holographic Sparkle Iron-On,174.0,-,ファインポイントブレード,100.0,holographic,0,1102.5,53.0
Maker 3,Iron-On,エブリデイアイロン接着タイプ（モザイク）,Everyday Iron-On (Mosaic),248.0,-,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Maker 3,Iron-On,ホログラフィックスパークルアイロン接着モザイク,Holographic Sparkle Iron-On Mosaic,252.0,-,ファインポイントブレード,100.0,holographic,0,1102.5,53.0
Maker 3,Iron-On,メタリックアイロン接着タイプモザイク,Metallic Iron-On Mosaic,267.0,-,ファインポイントブレード,100.0,metallic,0,1102.5,55.0
Maker 3,Iron-On,ホログラフィックアイロン接着モザイク,Holographic Iron-On Mosaic,268.0,-,ファインポイントブレード,100.0,holographic,0,1102.5,53.0
Maker 3,Printable Materials,印刷可能なアイロン接着タイプ、ライト,"Printable Iron-On, Light",80.0,-,ファインポイントブレード,100.0,plain,0,900.0,25.0
Maker 3,Printable Materials,印刷可能なビニール、白（グリーンライナー印刷）,Printable White Vinyl (Green Liner Printing),90.0,-,ファインポイントブレード,100.0,plain,0,900.0,25.0
Maker 3,Printable Materials,印刷可能なアイロン接着タイプ、ダーク,"Printable Iron-On, Dark",100.0,-,ファインポイントブレード,100.0,plain,0,900.0,25.0
Maker 3,Printable Materials,ステッカー用紙、取り外し可能,Removable Sticker Paper,106.0,-,ファインポイントブレード,100.0,plain,1,900.0,25.0
Maker 3,Printable Materials,印刷可能なステッカー紙、白（グリーンライナー印刷）,Printable White Sticker Paper (Green Liner Printing),115.0,-,ファインポイントブレード,100.0,plain,1,900.0,25.0
Maker 3,Printable Materials,印刷可能なビニール、透明,Printable Clear Vinyl,115.0,-,ファインポイントブレード,100.0,plain,0,900.0,25.0
Maker 3,Printable Materials,印刷可能なビニール、白（グレーライナー印刷）,Printable White Vinyl (Gray Liner Printing),125.0,-,ファインポイントブレード,100.0,plain,0,900.0,25.0
Maker 3,Printable Materials,印刷可能なビニール、特殊,Printable Specialty Vinyl,145.0,-,ファインポイントブレード,100.0,plain,0,900.0,25.0
