,,,,,,
,,,,,,
,,,,,,
,,アイロン接着 (Iron-On - 16素材),,,,
,,素材名 ,English ,切断圧力,マルチカット,ブレードタイプ
,,模様入りアイロン接着タイプ,Patterned Iron-On,80,-,ファインポイントブレード
,,エブリデイアイロン接着タイプ（メッシュ）,Everyday Iron-On (Mesh),100,-,ファインポイントブレード
,,エクスプレスアイロン接着タイプ,Express Iron-On,102,-,ファインポイントブレード
,,エブリデイアイロン接着タイプ,Everyday Iron-On,113,-,ファインポイントブレード
,,転写シート,Transfer Sheet,120,2倍,ファインポイントブレード
,,ホイルアイロン接着タイプ,Foil Iron-On,123,-,ファインポイントブレード
,,SportFlexアイロン接着タイプ,SportFlex Iron-On,133,-,ファインポイントブレード
,,フロックアイロン接着タイプ,Flock Iron-On,152,-,ファインポイントブレード
,,ホログラフィックアイロン接着タイプ,Holographic Iron-On,153,-,ファインポイントブレード
,,グリッターメッシュアイロン接着タイプ,Glitter Mesh Iron-On,154,-,ファインポイントブレード
,,グリッターアイロン接着タイプ,Glitter Iron-On,167,-,ファインポイントブレード
,,ホログラフィックスパークルアイロン接着タイプ,Holographic Sparkle Iron-On,174,-,ファインポイントブレード
,,エブリデイアイロン接着タイプ（モザイク）,Everyday Iron-On (Mosaic),248,-,ファインポイントブレード
,,ホログラフィックスパークルアイロン接着モザイク,Holographic Sparkle Iron-On Mosaic,252,-,ファインポイントブレード
,,メタリックアイロン接着タイプモザイク,Metallic Iron-On Mosaic,267,-,ファインポイントブレード
,,ホログラフィックアイロン接着モザイク,Holographic Iron-On Mosaic,268,-,ファインポイントブレード
,,,,,,
,,,,,,
,,,,,,
,,印刷素材・ステッカー (Printable Materials - 17素材),,,,
,,素材名 ,English ,切断圧力,マルチカット,ブレードタイプ
,,印刷可能なアイロン接着タイプ、ライト,"Printable Iron-On, Light",70,-,ファインポイントブレード
,,印刷可能なビニール、白（グリーンライナー印刷）,Printable White Vinyl (Green Liner Printing),90,-,ファインポイントブレード
,,印刷可能なアイロン接着タイプ、ダーク,"Printable Iron-On, Dark",100,-,ファインポイントブレード
,,ステッカー用紙、取り外し可能,Removable Sticker Paper,106,-,ファインポイントブレード
