,,,,,,
,,,,,,
,,,,,,
,,アイロン接着 (Iron-On - 13素材),,,,
,,素材名 (Material Name),English,切断圧力,マルチカット,ブレードタイプ
,,エブリデイアイロン接着タイプ,Everyday Iron-On,95,-,ファインポイント
,,エブリデイアイロン接着タイプ,Everyday Iron-On,95,-,ファインポイント
,,UVで色が変わるアイロン接着タイプ,UV-Color-Changing Iron-On,113,-,ファインポイント
,,リフレクティブアイロン接着タイプ,Reflective Iron-On,113,-,ファインポイント
,,SportFlexアイロン接着タイプ,SportFlex Iron-On,120,-,ファインポイント
,,エブリデイアイロン接着タイプ（メッシュ）,Everyday Iron-On (Mesh),120,-,ファインポイント
,,暗闇で光るアイロン接着タイプ,Glow-in-the-Dark Iron-On,130,-,ファインポイント
,,ホログラフィックアイロン接着タイプ,Holographic Iron-On,135,-,ファインポイント
,,エブリデイアイロン接着タイプ（モザイク）,Everyday Iron-On (Mosaic),158,-,ファインポイント
,,グリッターアイロン接着タイプ,Glitter Iron-On,180,-,ファインポイント
,,グリッターメッシュアイロン接着タイプ,Glitter Mesh Iron-On,180,-,ファインポイント
,,ホログラフィックスパークルアイロン接着タイプ,Holographic Sparkle Iron-On,182,-,ファインポイント
,,ホログラフィックアイロン接着モザイク,Holographic Iron-On Mosaic,246,-,ファインポイント
,,,,,,
,,,,,,
,,ンフュージブルインク (Infusible Ink - 1素材),,,,
,,素材名 (Material Name),English,切断圧力,マルチカット,ブレードタイプ
,,インフュージブルインク転写シート,Infusible Ink Transfer Sheet,241,-,ファインポイント
,,,,,,
,,,,,,
,,カードストック (Cardstock - 6素材),,,,
,,素材名 ,English ,切断圧力,マルチカット,ブレードタイプ
,,厚手カードストック（100lb/270gsm）,Heavyweight cardstock (100lb/270gsm),223,3倍,ファインポイント
,,グリッターカードストック,Glitter cardstock,245,2倍,ファインポイント
,,軽量カードストック（65lb/176gsm）,Lightweight cardstock (65lb/176gsm),245,-,ファインポイント
,,中サイズのカードストック（80lb/216gsm）,Medium cardstock (80lb/216gsm),251,-,ファインポイント
,,インサートカード用カードストック,Insert cardstock,260,-,ファインポイント
,,カットアウェイカード+バッカー,Cutaway cards with backers,315,-,ファインポイント
,,,,,,
,,紙 (Paper - 11素材),,,,
,,素材名 ,English ,切断圧力,マルチカット,ブレードタイプ
,,レーザーコピー用紙,Laser Copy Paper,100,2倍,ファインポイント
,,パールペーパー,Pearl Paper,120,2倍,ファインポイント
,,写真用紙,Photo Paper,223,2倍,ファインポイント
,,デラックスペーパー、接着剤付き,Deluxe Paper with Adhesive,253,-,ファインポイント
,,デラックスペーパーホイルエンボス加工,Deluxe Foil Embossed Paper,257,-,ファインポイント
,,デラックスペーパー,Deluxe Paper,270,-,ファインポイント
,,スパークルペーパー,Sparkle Paper,271,2倍,ファインポイント
,,シマーペーパー,Shimmer Paper,306,2倍,ファインポイント
,,ホイル紙（0.36mm）,Foil Paper (0.36mm),318,-,ファインポイント
,,トゥルーブラッシュドペーパー,True Brushed Paper,328,2倍,ファインポイント
,,ホイルアセテート,Foil Acetate,330,2倍,ファインポイント
,,,,,,
,,,,,,
,,スマート素材 (Smart Materials - 14素材),,,,
,,素材名 ,English ,切断圧力,マルチカット,ブレードタイプ
,,スマートラベル（溶解可能）,Smart Labels (Dissolvable),80,-,ファインポイント
,,スマートアイロン接着タイプ（模様入り）,Smart Iron-On (Patterned),90,-,ファインポイント
,,スマートラベル（書き込み可能・紙）,Smart Labels (Writable/Paper),107,-,ファインポイント
,,スマートステンシル,Smart Stencils,110,-,ファインポイント
,,スマートビニール（ホログラフィックパターン）,Smart Vinyl (Holographic Pattern),111,-,ファインポイント
,,スマートビニール（取り外し可能）,Smart Vinyl (Removable),115,-,ファインポイント
,,スマートアイロン接着タイプ,Smart Iron-On,118,-,ファインポイント
,,スマートビニール（パーマネント）,Smart Vinyl (Permanent),125,-,ファインポイント
,,スマートアイロン接着タイプ（ホログラフィック）,Smart Iron-On (Holographic),135,-,ファインポイント
,,スマートビニール（シマー）,Smart Vinyl (Shimmer),135,-,ファインポイント
,,スマートアイロン接着タイプ（グリッター）,Smart Iron-On (Glitter),147,-,ファインポイント
,,スマートラベル（書き込み可能・ビニール）,Smart Labels (Writable/Vinyl),150,-,ファインポイント
,,スマートビニール（マットメタリック）,Smart Vinyl (Matte Metallic),155,-,ファインポイント
,,スマートペーパーステッカー（カードストック）,Smart Paper Stickers (Cardstock),285,-,ファインポイント
,,,,,,
,,ビニール (Vinyl - 22素材),,,,
,,素材名 ,English ,切断圧力,マルチカット,ブレードタイプ
,,プレミアムビニール（ホログラフィッククリスタル）,Premium Vinyl (Holographic Crystal),121,-,ファインポイント
,,プレミアムビニール（ホログラフィックバブル）,Premium Vinyl (Holographic Bubble),121,-,ファインポイント
