,,,,,,
,,,,,,
,,,,,,
,,アイロン接着 (Iron-On - 15素材),,,,
,,素材名 ,English ,切断圧力,マルチカット,ブレードタイプ
,,模様入りアイロン接着タイプ,Patterned Iron-On,80,-,ファインポイントブレード
,,エブリデイアイロン接着タイプ（メッシュ）,Everyday Iron-On (Mesh),100,-,ファインポイントブレード
,,エクスプレスアイロン接着タイプ,Express Iron-On,102,-,ファインポイントブレード
,,エブリデイアイロン接着タイプ,Everyday Iron-On,113,-,ファインポイントブレード
,,リフレクティブアイロン接着タイプ,Reflective Iron-On,113,-,ファインポイントブレード
,,ホイルアイロン接着タイプ,Foil Iron-On,123,-,ファインポイントブレード
,,SportFlexアイロン接着タイプ,SportFlex Iron-On,133,-,ファインポイントブレード
,,グリッターメッシュアイロン接着タイプ,Glitter Mesh Iron-On,154,-,ファインポイントブレード
,,ホログラフィックアイロン接着タイプ,Holographic Iron-On,154,-,ファインポイントブレード
,,ホログラフィックスパークルアイロン接着タイプ,Holographic Sparkle Iron-On,174,-,ファインポイントブレード
,,グリッターアイロン接着タイプ,Glitter Iron-On,177,-,ファインポイントブレード
,,エブリデイアイロン接着タイプ（モザイク）,Everyday Iron-On (Mosaic),248,-,ファインポイントブレード
,,ホログラフィックスパークルアイロン接着モザイク,Holographic Sparkle Iron-On Mosaic,252,-,ファインポイントブレード
,,メタリックアイロン接着タイプモザイク,Metallic Iron-On Mosaic,267,-,ファインポイントブレード
,,ホログラフィックアイロン接着モザイク,Holographic Iron-On Mosaic,268,-,ファインポイントブレード
,,,,,,
,,,,,,
,,インフュージブルインク (Infusible Ink - 1素材),,,,
,,素材名 ,English ,切断圧力,マルチカット,ブレードタイプ
,,インフュージブルインク転写シート,Infusible ink transfer sheet,226,-,ファインポイントブレード
,,,,,,
,,,,,,
,,印刷素材・ステッカー (Printable Materials - 15素材),,,,
,,素材名 ,English ,切断圧力,マルチカット,ブレードタイプ
,,印刷可能なアイロン接着タイプ、ライト,Light Printable Iron-On Stickers,70,-,ファインポイントブレード
,,印刷可能なステッカー紙、白（グリーンライナー印刷）,White Printable Sticker Paper (Green Liner Printed),70,-,ファインポイントブレード
,,印刷可能なビニール、白（グリーンライナー印刷）,White Printable Vinyl (Green Liner Printed),70,-,ファインポイントブレード
,,印刷可能なアイロン接着タイプ、ダーク,Dark Printable Iron-On Stickers,100,-,ファインポイントブレード
,,印刷可能なビニール、透明,Transparent Printable Vinyl,110,-,ファインポイントブレード
,,印刷可能なビニール、白（グレーライナー印刷）,White Printable Vinyl (Gray Liner Printed),120,-,ファインポイントブレード
,,印刷可能なビニール、特殊,Specialty Printable Vinyl,160,-,ファインポイントブレード
,,印刷可能な防水ステッカーセット（ホワイトホログラフィック）,White Holographic Printable Waterproof Sticker Set,200,-,ファインポイントブレード
,,印刷可能な生地,Printable Fabric,205,-,ファインポイントブレード
,,印刷可能な防水ステッカーセット（ホワイト）,White Holographic Printable Waterproof Sticker Set,220,-,ファインポイントブレード
,,印刷可能なステッカー紙、クリア（ライナー印刷なし）,Clear Printable Sticker Paper (No Liner Printed),230,-,ファインポイントブレード
,,印刷可能なステッカー紙、白（グレーライナー印刷）,White Gray Liner Printable Sticker Paper,230,-,ファインポイントブレード
,,印刷可能な防水ステッカーセット（透明）,Transparent Printable Waterproof Sticker Set,245,-,ファインポイントブレード
,,印刷可能な防水ステッカーセット（透明ホログラフィック）,Transparent Holographic Printable Waterproof Sticker Set,250,-,ファインポイントブレード
,,タトゥーペーパー,Tattoo Paper,277,-,ファインポイントブレード
,,,,,,
,,,,,,
,,カードストック (Cardstock - 9素材),,,,
,,素材名 ,English ,切断圧力,マルチカット,ブレードタイプ
,,カットアウェイカード+バッカー,Cutaway Cards + Backers,180,2倍,ファインポイントブレード
,,カードストック（複雑なカット用）,Cardstock (for intricate cuts),200,2倍,ファインポイントブレード
,,軽量カードストック（65lb/176gsm）,Lightweight Cardstock (65lb/176gsm),214,-,ファインポイントブレード
,,グリッターカードストック,Glitter Cardstock,270,2倍,ファインポイントブレード
,,インサートカード用カードストック,Cardstock for Insert Cards,275,-,ファインポイントブレード
,,クラフトカードストック,Kraft Cardstock,275,-,ファインポイントブレード
,,厚手カードストック（100lb/270gsm）,Heavyweight Cardstock (100lb/270gsm),295,2倍,ファインポイントブレード
,,カードストック、接着剤裏地付き,Cardstock with Adhesive Backing,300,-,ファインポイントブレード
,,中サイズのカードストック（80lb/216gsm）,Medium Cardstock (80lb/216gsm),320,-,ファインポイントブレード
,,,,,,
,,,,,,
,,紙 (Paper - 28素材),,,,
,,素材名 ,English ,切断圧力,マルチカット,ブレードタイプ
,,和紙テープ（0.06mm）,Washi Tape (0.06mm),70,-,ファインポイントブレード
,,ブッチャーペーパー,Butcher Paper,80,-,ファインポイントブレード
,,和紙,Washi Paper,85,-,ファインポイントブレード
,,パーチメント紙,Parchment Paper,100,-,ファインポイントブレード
,,ラッピングペーパー,Wrapping Paper,100,-,ファインポイントブレード
,,レーザーコピー用紙,Laser Copy Paper,126,-,ファインポイントブレード
,,パールペーパー,Pearl Paper,138,2倍,ファインポイントブレード
,,コピー用紙（20lb/75gsm）,Copy Paper (20lb/75gsm),143,-,ファインポイントブレード
,,コピー用紙（24lb/90gsm）,Copy Paper (24lb/90gsm),143,-,ファインポイントブレード
,,コピー用紙（32lb/120gsm）,Copy Paper (32lb/120gsm),143,-,ファインポイントブレード
,,建設用紙,Construction Paper,155,-,ファインポイントブレード
,,ワックス紙,Wax Paper,160,-,ファインポイントブレード
,,スムースグリッターペーパー,Smooth Glitter Paper,175,2倍,ファインポイントブレード
,,ノートブック用紙,Notebook Paper,191,-,ファインポイントブレード
,,キャリブレーションペーパー,Calibration Paper,192,-,ファインポイントブレード
,,写真用紙,Photo Paper,223,2倍,ファインポイントブレード
,,フロック紙,Flock Paper,225,3倍,ファインポイントブレード
,,ライトパターンペーパー,Light Pattern Paper,240,-,ファインポイントブレード
,,デラックスペーパー,Deluxe Paper,270,-,ファインポイントブレード
,,デラックスペーパー、接着剤付き,Deluxe Paper with Adhesive,270,-,ファインポイントブレード
,,厚手の柄紙,Heavy Patterned Paper,275,-,ディープポイントブレード
,,スパークルペーパー,Sparkle Paper,285,2倍,ファインポイントブレード
,,トゥルーブラッシュドペーパー,True Brushed Paper,295,2倍,ファインポイントブレード
,,デラックスペーパーホイルエンボス加工,Deluxe Foil Embossed Paper,300,-,ファインポイントブレード
,,ホイル紙（0.36mm）,Foil Paper (0.36mm),300,-,ファインポイントブレード
,,ヘビーウォーターカラーペーパー（140lb/300gsm）,Heavy Watercolor Paper (140lb/300gsm),310,2倍,ファインポイントブレード
,,ホイルアセテート,Foil Acetate,321,2倍,ファインポイントブレード
,,シマーペーパー,Shimmer Paper,345,2倍,ファインポイントブレード
,,,,,,
,,,,,,
,,,,,,
,,スマート素材 (Smart Materials - 8素材),,,,
,,素材名 ,English ,切断圧力,マルチカット,ブレードタイプ
,,スマートビニール（取り外し可能）,Smart Vinyl (Removable),121,-,ファインポイントブレード
,,スマートビニール（パーマネント）,Smart Vinyl (Permanent),135,-,ファインポイントブレード
,,スマートビニール（マットメタリック）,Smart Vinyl (Matte Metallic),154,-,ファインポイントブレード
,,スマートアイロン接着タイプ,Smart Iron-On,156,-,ファインポイントブレード
,,スマートアイロン接着タイプ（ホログラフィック）,Smart Iron-On (Holographic),156,-,ファインポイントブレード
,,スマートアイロン接着タイプ（グリッター）,Smart Iron-On (Glitter),163,-,ファインポイントブレード
,,スマートビニール（シマー）,Smart Vinyl (Shimmer),169,-,ファインポイントブレード
,,スマートペーパーステッカー（カードストック）,Smart Paper Stickers (Cardstock),300,-,ファインポイントブレード
,,,,,,
,,,,,,
,,布（ファブリック） (Fabric - 4素材),,,,
,,素材名 ,English ,切断圧力,マルチカット,ブレードタイプ
,,オイルクロス、接着,"Oilcloth, bonded",285,-,ボンデッドファブリックブレード
,,シルク、ボンデッド,"Silk, bonded",285,-,ボンデッドファブリックブレード
,,ポリエステル、接着,"Polyester, bonded",285,-,ボンデッドファブリックブレード
,,デニム、接着,"Denim, bonded",321,3倍,ボンデッドファブリックブレード
,,,,,,
,,,,,,
,,ビニール (Vinyl - 25素材),,,,
,,素材名 ,English ,切断圧力,マルチカット,ブレードタイプ
,,グリッタービニール,Glitter Vinyl,76,-,ファインポイントブレード
,,プレミアムビニール（ホログラフィック3Dテクスチャ）,Premium Vinyl (Holographic 3D Texture),108,-,ファインポイントブレード
,,接着箔,Adhesive Foil,108,-,ファインポイントブレード
,,ステンシルビニール,Stencil Vinyl,109,-,ファインポイントブレード
,,プレミアムビニール（ホログラフィック）,Premium Vinyl (Holographic),110,-,ファインポイントブレード
